hotel_name,rating,review_count,hotel_category,price_inr,amenity_1,amenity_2,amenity_3,amenity_4,description,deal_label,discount_percent
HOTEL THE PINE VILLA MUSSOORIE,4.7,176,3-star hotel,2223,,,,,,,
The Leo Hotels Mokshada Suites,4.4,175,,2135,Pool,Free parking,Free breakfast,Free Wi-Fi,,,
"Welcomhotel By ITC Hotels, The Savoy, Mussoorie",4.8,12032,5-star hotel,27600,Pool,Spa,Free parking,Free breakfast,Refined country house escape with a spa,,
JW Marriott Mussoorie Walnut Grove Resort & Spa,4.5,6475,5-star hotel,33000,Pool,Spa,Free parking,Free breakfast,Luxe hotel with 4 restaurants & a spa,,
Mussoorie Gateway,4.2,1780,3-star hotel,3264,Free Wi-Fi,Breakfast,Wi-Fi,Parking,Laid-back hotel with valley views,,
Renest Dunsvirk Court Mussoorie,4.4,2026,4-star hotel,4295,Spa,Free breakfast,Free Wi-Fi,Air-conditioned,Informal hotel with valley views & a spa,GREAT DEAL,43
Ramada By Wyndham Mussoorie Mall Road,4.6,3302,4-star hotel,12400,Pool,Free parking,Free breakfast,Free Wi-Fi,Refined hotel with valley views & dining,,
"Club Mahindra Resort - Mussoorie, Uttarakhand",4.0,3422,4-star hotel,6390,Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi,Modest hillside hotel with a restaurant,,
"The Fern Brentwood Resort Mussoorie, Series by Marriott",4.3,1695,4-star hotel,11800,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Modern hotel with a restaurant,,
Jaypee Residency Manor,4.5,7219,5-star hotel,15200,Pool,Spa,Free parking,Hot tub,Grand luxury hotel with dining & a spa,,
Sterling Mussoorie,4.4,6967,4-star hotel,6185,Spa,Free parking,Free Wi-Fi,Air-conditioned,,,
"Shiva Continental, Mussoorie",4.5,3340,3-star hotel,2736,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Informal lodging with a restaurant,,
"Fortune Resort Grace Mussoorie, Uttarakhand - Member ITC Hotels' Group",4.2,5912,4-star hotel,11000,Spa,Free parking,Free breakfast,Free Wi-Fi,Unfussy resort with dining & a gym,,
"Hotel Green Castle, Mall road, Mussoorie",4.1,2766,4-star hotel,7506,Spa,Free parking,Free breakfast,Free Wi-Fi,Polished hotel with a restaurant & a spa,,
"The Oasis Mussoorie, a member of Radisson Individuals",4.3,1630,4-star hotel,9531,Pool,Free parking,Free Wi-Fi,Air-conditioned,Tranquil hotel with mountain views,GREAT DEAL,35
Mango Tree Courtyard Mussoorie,4.5,791,2-star hotel,2451,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Cosy hotel with views of the Himalayas,,
Zostel Mussoorie (Mall Road),4.5,2057,Backpacker Hostel,1573,Free Wi-Fi,Wi-Fi,Parking,Restaurant,,DEAL,21
Hotel Vishnu Palace - Pure Vegetarian Family Hotel | Affordable Luxury Himalayan View Hotel Mussoorie library Mall Road,4.3,4142,3-star hotel,3976,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Relaxed mountainside hotel with dining,,
Mosaic Hotel Mussoorie,4.1,1500,4-star hotel,10300,Pool,Spa,Free parking,Free breakfast,Upscale hillside hotel with valley views,,
The Palm Aryan Mussoorie _ A Boutique Hotel,4.4,574,Resort hotel,2454,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,GREAT DEAL,26
Hotel LA Eden Mussoorie,4.3,445,3-star hotel,2509,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,DEAL,22
"Rokeby Manor, Mussoorie",4.5,2277,4-star hotel,21300,Spa,Free parking,Hot tub,Free breakfast,Cozy hotel with mountain views & a spa,,
The Mountain Quail Hotel & Resort,4.3,685,3-star hotel,3549,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Informal hotel with mountain views,,
goSTOPS Mussoorie Library Road,4.1,1187,Hotel,1009,Pool,Free parking,Free Wi-Fi,Air-conditioned,Casual hostel with mountain views,,
HOTEL MV ACOSTA,4.5,1642,4-star hotel,2055,Pool,Free parking,Free breakfast,Free Wi-Fi,Relaxed hotel with a restaurant & a bar,GREAT DEAL,46
Zone Connect by The Park Mussoorie,4.1,1750,4-star hotel,3095,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Relaxed hotel with a restaurant,,
SHIVALIK HILLS MUSSOORIE,4.1,501,4-star hotel,2405,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,,,
